This is the output file for ECLiPSe - Sudoku.

The numbers in the following tables represent [execution time in milliseconds]/[number of backtracks]. The headers for the columns represent the difficulty of the puzzle; the headers for the rows represent the [Selection method]/[Choice method] for the search.


TRADITIONAL SOLUTION

		verydifficult	expert	lambda	hard17	symme	eastermonster	tarek_052	goldennugget	coloin	extra1	extra2	extra3	extra4	fin	inkara2012	clue18	clue17	sudowiki_nb28	sudowiki_nb49	veryeasy	
input_order/indomain	[0]/0	[0]/5	[577]/10786	[78]/1383	[47]/548	[63]/648	[15]/53	[31]/295	[63]/763	[187]/4229	[265]/4236	[577]/10786	[156]/2856	[16]/160	[16]/160	[31]/341	[78]/1216	[1185]/15642	[63]/701	[0]/28	
input_order/indomain_min	[0]/0	[0]/5	[811]/10786	[109]/1383	[63]/548	[78]/648	[0]/53	[31]/295	[78]/763	[249]/4229	[359]/4236	[796]/10786	[203]/2856	[31]/160	[15]/160	[47]/341	[94]/1216	[1482]/15642	[93]/701	[0]/28	
input_order/indomain_max	[0]/4	[0]/5	[125]/1865	[265]/3461	[0]/63	[16]/33	[16]/159	[15]/170	[109]/1241	[6053]/104148	[16]/214	[125]/1865	[46]/490	[110]/1267	[109]/1267	[2075]/18998	[0]/72	[405]/4463	[78]/646	[0]/28	
input_order/indomain_reverse_min	[0]/4	[0]/5	[141]/1865	[249]/3461	[16]/63	[0]/33	[15]/159	[32]/170	[109]/1241	[5928]/104148	[15]/214	[125]/1865	[31]/490	[110]/1267	[109]/1267	[2028]/18998	[15]/72	[390]/4463	[94]/646	[0]/28	
input_order/indomain_reverse_max	[0]/0	[0]/5	[780]/10786	[109]/1383	[78]/548	[78]/648	[0]/53	[31]/295	[78]/763	[250]/4229	[359]/4236	[780]/10786	[203]/2856	[31]/160	[15]/160	[47]/341	[94]/1216	[1482]/15642	[78]/701	[0]/28	
input_order/indomain_middle	[0]/2	[16]/0	[1170]/12143	[468]/4526	[46]/376	[47]/331	[16]/112	[15]/100	[234]/1980	[6381]/95275	[390]/3895	[1185]/12143	[266]/2606	[109]/1040	[109]/1040	[2434]/18820	[93]/949	[1607]/14746	[0]/85	[0]/27	
input_order/indomain_median	[16]/4	[0]/0	[1076]/12057	[328]/3496	[46]/343	[47]/360	[16]/156	[15]/110	[156]/1560	[6911]/104992	[93]/997	[1092]/12057	[219]/2493	[125]/1297	[124]/1297	[2340]/19135	[110]/1118	[780]/7630	[15]/82	[0]/29	
input_order/indomain_split	[0]/0	[0]/5	[905]/10786	[125]/1383	[62]/548	[78]/648	[0]/53	[47]/295	[78]/763	[281]/4229	[390]/4236	[905]/10786	[234]/2856	[15]/160	[16]/160	[47]/341	[109]/1216	[1606]/15642	[93]/701	[0]/28	
input_order/indomain_reverse_split	[0]/4	[0]/5	[142]/1865	[280]/3461	[17]/63	[0]/33	[15]/159	[31]/170	[110]/1241	[6630]/104148	[15]/214	[155]/1865	[33]/490	[124]/1267	[110]/1267	[2168]/18998	[0]/72	[437]/4463	[93]/646	[0]/28	
input_order/indomain_random	[0]/2	[0]/6	[47]/728	[187]/2262	[78]/582	[78]/557	[15]/136	[17]/140	[155]/1568	[1497]/23554	[157]/1720	[967]/12027	[233]/3159	[125]/1156	[78]/1000	[875]/7595	[0]/47	[857]/8071	[15]/104	[0]/4	
input_order/indomain_interval	[0]/0	[0]/5	[984]/10786	[125]/1383	[78]/548	[93]/648	[0]/53	[47]/295	[94]/763	[296]/4229	[421]/4236	[983]/10786	[265]/2856	[16]/160	[15]/160	[63]/341	[109]/1216	[1763]/15642	[109]/701	[0]/28	
first_fail/indomain	[0]/0	[0]/4	[62]/773	[47]/476	[31]/377	[47]/424	[0]/5	[47]/354	[78]/750	[62]/871	[156]/1454	[63]/773	[78]/1074	[47]/378	[46]/378	[234]/2354	[78]/1021	[250]/3090	[78]/661	[0]/0	
first_fail/indomain_min	[0]/0	[0]/4	[78]/773	[47]/476	[47]/377	[46]/424	[16]/5	[47]/354	[78]/750	[78]/871	[187]/1454	[78]/773	[94]/1074	[62]/378	[47]/378	[265]/2354	[94]/1021	[296]/3090	[94]/661	[0]/0	
first_fail/indomain_max	[0]/3	[0]/6	[15]/187	[47]/558	[16]/73	[15]/79	[31]/205	[0]/40	[141]/1094	[78]/963	[93]/826	[16]/187	[78]/747	[47]/391	[47]/391	[624]/5258	[15]/250	[546]/4704	[109]/929	[0]/0	
first_fail/indomain_reverse_min	[0]/3	[0]/6	[16]/187	[62]/558	[16]/73	[0]/79	[31]/205	[16]/40	[125]/1094	[78]/963	[109]/826	[15]/187	[78]/747	[47]/391	[47]/391	[624]/5258	[16]/250	[530]/4704	[125]/929	[0]/0	
first_fail/indomain_reverse_max	[0]/0	[0]/4	[94]/773	[31]/476	[47]/377	[62]/424	[0]/5	[47]/354	[93]/750	[78]/871	[172]/1454	[94]/773	[93]/1074	[63]/378	[46]/378	[266]/2354	[93]/1021	[312]/3090	[78]/661	[0]/0	
first_fail/indomain_middle	[0]/1	[0]/0	[109]/774	[47]/473	[31]/241	[47]/214	[0]/67	[63]/383	[141]/1078	[93]/836	[78]/549	[109]/774	[110]/1031	[46]/356	[47]/356	[16]/70	[125]/1167	[546]/4589	[31]/208	[0]/0	
first_fail/indomain_median	[0]/3	[0]/6	[15]/187	[63]/558	[31]/273	[47]/287	[31]/205	[31]/253	[141]/1094	[93]/963	[63]/522	[15]/187	[94]/747	[47]/391	[46]/391	[234]/1797	[16]/250	[624]/5511	[31]/254	[0]/0	
first_fail/indomain_split	[0]/0	[0]/4	[93]/773	[47]/476	[46]/377	[63]/424	[0]/5	[47]/354	[78]/750	[94]/871	[171]/1454	[94]/773	[93]/1074	[63]/378	[47]/378	[265]/2354	[109]/1021	[312]/3090	[78]/661	[0]/0	
first_fail/indomain_reverse_split	[0]/3	[0]/6	[16]/187	[62]/558	[0]/73	[16]/79	[31]/205	[0]/40	[140]/1094	[78]/963	[110]/826	[15]/187	[78]/747	[47]/391	[47]/391	[623]/5258	[32]/250	[546]/4704	[125]/929	[0]/0	
first_fail/indomain_random	[0]/0	[0]/10	[78]/775	[31]/343	[47]/423	[15]/56	[0]/34	[63]/394	[0]/58	[140]/1383	[172]/1423	[31]/190	[16]/88	[78]/669	[62]/358	[359]/3021	[125]/1195	[249]/2526	[172]/1387	[15]/0	
first_fail/indomain_interval	[0]/0	[0]/4	[94]/773	[47]/476	[62]/377	[63]/424	[0]/5	[46]/354	[110]/750	[93]/871	[203]/1454	[109]/773	[109]/1074	[62]/378	[63]/378	[312]/2354	[94]/1021	[359]/3090	[77]/661	[0]/0	
anti_first_fail/indomain	[0]/3	[1497]/9815	[7539732]/76403119	[904213]/8504891	[21840]/161031	[3838]/29418	[3557]/28837	[6271]/44842	[29016]/224683  [19869130]/199652535	[20358177]/190450451	[7611367]/76403119	[6717075]/64190262	[90855]/699897	[91354]/699897	[510046]/4236146	[1521774]/12676296	[100948]/995640	[9563]/71469    NA/[ran for over 16 hours without result]
anti_first_fail/indomain_min    [0]/3	[1856]/9815 NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  
anti_first_fail/indomain_max	NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  
anti_first_fail/indomain_reverse_min	NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  
anti_first_fail/indomain_reverse_max	NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  
anti_first_fail/indomain_middle NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  
anti_first_fail/indomain_median	NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  
anti_first_fail/indomain_split	NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  
